,dates,Ancestor's Chosen,Angel of Mercy,Aven Cloudchaser,Ballista Squad,Bandage,Beacon of Immortality,Benalish Knight,Condemn,Contaminated Bond,Demystify
2013-07-25,2013-07-25,," 0.98
"," 0.02
"," 0.03
",,," 0.02
",," 0.02
",
2013-07-26,2013-07-26,," 0.98
"," 0.02
"," 0.03
",,," 0.02
",," 0.02
",
2013-07-27,2013-07-27,," 0.98
"," 0.02
"," 0.03
",,," 0.02
",," 0.02
",
2013-07-28,2013-07-28,," 0.98
"," 0.02
"," 0.03
",,," 0.02
",," 0.02
",
2013-07-29,2013-07-29,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.16
",
2013-07-30,2013-07-30,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.16
",
2013-07-31,2013-07-31,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.16
",
2013-08-01,2013-08-01,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.16
",
2013-08-02,2013-08-02,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-03,2013-08-03,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-04,2013-08-04,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.16
",
2013-08-05,2013-08-05,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-06,2013-08-06,," 0.99
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-07,2013-08-07,," 0.99
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-08,2013-08-08,," 0.99
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-09,2013-08-09,," 0.99
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-10,2013-08-10,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-11,2013-08-11,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-12,2013-08-12,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-13,2013-08-13,," 0.98
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-14,2013-08-14,," 0.98
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-15,2013-08-15,," 0.96
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-16,2013-08-16,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-17,2013-08-17,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-18,2013-08-18,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-19,2013-08-19,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-20,2013-08-20,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-21,2013-08-21,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-22,2013-08-22,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-23,2013-08-23,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-24,2013-08-24,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-25,2013-08-25,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-26,2013-08-26,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-27,2013-08-27,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-08-28,2013-08-28,," 0.97
"," 0.18
"," 0.22
",,," 0.17
",," 0.17
",
2013-08-29,2013-08-29,," 0.97
"," 0.18
"," 0.22
",,," 0.17
",," 0.17
",
2013-08-30,2013-08-30,," 0.97
"," 0.18
"," 0.22
",,," 0.17
",," 0.17
",
2013-08-31,2013-08-31,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-01,2013-09-01,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-02,2013-09-02,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-03,2013-09-03,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-04,2013-09-04,," 0.97
",,,,,,,,
2013-09-05,2013-09-05,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-06,2013-09-06,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-07,2013-09-07,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-08,2013-09-08,," 0.97
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-09,2013-09-09,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.18
",
2013-09-10,2013-09-10,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.17
",
2013-09-11,2013-09-11,," 0.96
"," 0.18
"," 0.23
",,," 0.17
",," 0.18
",
2013-09-12,2013-09-12,," 0.96
"," 0.18
"," 0.22
",,," 0.18
",," 0.18
",
2013-09-13,2013-09-13,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-14,2013-09-14,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-15,2013-09-15,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-16,2013-09-16,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.17
",
2013-09-17,2013-09-17,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-18,2013-09-18,," 0.96
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-19,2013-09-19,," 0.97
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-20,2013-09-20,," 0.97
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-21,2013-09-21,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-22,2013-09-22,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-23,2013-09-23,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-24,2013-09-24,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-25,2013-09-25,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-26,2013-09-26,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-27,2013-09-27,," 0.98
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-09-28,2013-09-28,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-29,2013-09-29,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-09-30,2013-09-30,," 0.98
"," 0.18
"," 0.23
",,," 0.19
",," 0.18
",
2013-10-01,2013-10-01,," 0.98
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-10-02,2013-10-02,," 0.98
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-10-03,2013-10-03,," 0.98
"," 0.18
"," 0.23
",,," 0.18
",," 0.18
",
2013-10-04,2013-10-04,," 0.98
"," 0.2
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-05,2013-10-05,," 0.98
"," 0.2
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-06,2013-10-06,," 0.98
"," 0.2
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-07,2013-10-07,," 0.98
"," 0.19
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-08,2013-10-08,," 0.98
"," 0.18
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-09,2013-10-09,," 0.98
"," 0.18
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-10,2013-10-10,," 0.97
"," 0.18
"," 0.24
",,," 0.18
",," 0.19
",
2013-10-11,2013-10-11,," 0.97
"," 0.18
"," 0.24
",,," 0.17
",," 0.19
",
2013-10-12,2013-10-12,," 0.97
"," 0.18
"," 0.23
",,," 0.17
",," 0.19
",
2013-10-13,2013-10-13,," 0.97
"," 0.18
"," 0.23
",,," 0.18
",," 0.19
",
2013-10-14,2013-10-14,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-15,2013-10-15,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-16,2013-10-16,," 0.97
"," 0.17
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-17,2013-10-17,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-18,2013-10-18,," 0.97
"," 0.16
"," 0.22
",,," 0.17
",," 0.18
",
2013-10-19,2013-10-19,," 0.97
"," 0.16
"," 0.22
",,," 0.17
",," 0.18
",
2013-10-20,2013-10-20,," 0.97
"," 0.16
"," 0.22
",,," 0.17
",," 0.18
",
2013-10-21,2013-10-21,," 0.96
"," 0.16
"," 0.22
",,," 0.17
",," 0.18
",
2013-10-22,2013-10-22,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-10-23,2013-10-23,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-10-24,2013-10-24,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-10-25,2013-10-25,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-10-26,2013-10-26,," 0.97
"," 0.16
"," 0.22
",,," 0.17
",," 0.18
",
2013-10-27,2013-10-27,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-28,2013-10-28,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.18
",
2013-10-29,2013-10-29,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-10-30,2013-10-30,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-10-31,2013-10-31,," 0.97
"," 0.16
"," 0.22
",,," 0.18
",," 0.17
",
2013-11-01,2013-11-01,," 0.97
"," 0.16
"," 0.22
",,," 0.17
",," 0.17
",
2013-11-02,2013-11-02,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-03,2013-11-03,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-04,2013-11-04,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-05,2013-11-05,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-06,2013-11-06,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-07,2013-11-07,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-08,2013-11-08,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-09,2013-11-09,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-10,2013-11-10,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-11,2013-11-11,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-12,2013-11-12,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-13,2013-11-13,," 0.97
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-14,2013-11-14,," 0.94
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-15,2013-11-15,," 0.94
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-16,2013-11-16,," 0.94
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-17,2013-11-17,," 0.94
"," 0.16
"," 0.21
",,," 0.17
",," 0.17
",
2013-11-18,2013-11-18,," 0.94
"," 0.15
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-19,2013-11-19,," 0.94
"," 0.15
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-20,2013-11-20,," 0.94
"," 0.15
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-21,2013-11-21,," 0.96
"," 0.15
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-22,2013-11-22,," 0.96
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-23,2013-11-23,," 0.96
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-24,2013-11-24,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-25,2013-11-25,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-26,2013-11-26,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-27,2013-11-27,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-28,2013-11-28,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-29,2013-11-29,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-11-30,2013-11-30,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-01,2013-12-01,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-02,2013-12-02,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-03,2013-12-03,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-04,2013-12-04,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-05,2013-12-05,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-06,2013-12-06,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-07,2013-12-07,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-08,2013-12-08,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-09,2013-12-09,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-10,2013-12-10,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-11,2013-12-11,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-12,2013-12-12,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-13,2013-12-13,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-14,2013-12-14,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-15,2013-12-15,," 0.93
",,,,,,,,
2013-12-16,2013-12-16,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-17,2013-12-17,," 0.94
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-18,2013-12-18,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-19,2013-12-19,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-20,2013-12-20,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-21,2013-12-21,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-22,2013-12-22,," 0.93
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-23,2013-12-23,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-24,2013-12-24,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-25,2013-12-25,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-26,2013-12-26,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-27,2013-12-27,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-28,2013-12-28,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-29,2013-12-29,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-30,2013-12-30,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2013-12-31,2013-12-31,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-01,2014-01-01,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-02,2014-01-02,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-03,2014-01-03,," 0.91
"," 0.15
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-04,2014-01-04,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-05,2014-01-05,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-06,2014-01-06,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-07,2014-01-07,," 0.91
"," 0.16
"," 0.2
",,," 0.16
",," 0.16
",
2014-01-08,2014-01-08,," 0.91
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-09,2014-01-09,," 0.91
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-10,2014-01-10,," 0.93
"," 0.16
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-11,2014-01-11,," 0.93
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-12,2014-01-12,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-13,2014-01-13,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-14,2014-01-14,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-15,2014-01-15,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-16,2014-01-16,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-17,2014-01-17,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-18,2014-01-18,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-19,2014-01-19,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-20,2014-01-20,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-21,2014-01-21,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.16
",
2014-01-22,2014-01-22,," 0.91
"," 0.17
"," 0.21
",,," 0.17
",," 0.17
",
2014-01-23,2014-01-23,," 0.91
"," 0.17
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-24,2014-01-24,," 0.91
"," 0.17
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-25,2014-01-25,," 0.93
"," 0.17
"," 0.2
",,," 0.17
",," 0.17
",
2014-01-26,2014-01-26,," 0.93
"," 0.17
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-27,2014-01-27,," 0.94
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-28,2014-01-28,," 0.95
"," 0.17
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-29,2014-01-29,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-30,2014-01-30,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-01-31,2014-01-31,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-01,2014-02-01,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-02,2014-02-02,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-03,2014-02-03,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-04,2014-02-04,," 0.93
"," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-05,2014-02-05,,," 0.16
"," 0.2
",,," 0.17
",," 0.16
",
2014-02-06,2014-02-06,," 0.95
"," 0.16
"," 0.2
",,," 0.17
",," 0.17
",
2014-02-07,2014-02-07,," 0.94
"," 0.16
"," 0.2
",,," 0.17
",," 0.17
",
2014-02-08,2014-02-08,," 0.95
"," 0.16
"," 0.2
",,," 0.17
",," 0.17
",
2014-02-09,2014-02-09,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-10,2014-02-10,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-11,2014-02-11,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-12,2014-02-12,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-13,2014-02-13,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-14,2014-02-14,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-15,2014-02-15,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-16,2014-02-16,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-17,2014-02-17,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-18,2014-02-18,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-19,2014-02-19,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-20,2014-02-20,," 0.94
"," 0.15
"," 0.18
",,," 0.14
",," 0.15
",
2014-02-21,2014-02-21,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-22,2014-02-22,," 0.94
"," 0.14
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-23,2014-02-23,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-24,2014-02-24,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-25,2014-02-25,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-26,2014-02-26,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-27,2014-02-27,," 0.93
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-02-28,2014-02-28,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-01,2014-03-01,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-02,2014-03-02,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-03,2014-03-03,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-04,2014-03-04,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-05,2014-03-05,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-06,2014-03-06,," 0.94
"," 0.15
"," 0.19
",,," 0.15
",," 0.15
",
2014-03-07,2014-03-07,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-08,2014-03-08,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-09,2014-03-09,," 0.94
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-10,2014-03-10,," 0.91
"," 0.15
"," 0.19
",,," 0.15
",," 0.15
",
2014-03-11,2014-03-11,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-12,2014-03-12,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-13,2014-03-13,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-14,2014-03-14,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-15,2014-03-15,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-16,2014-03-16,," 0.91
"," 0.15
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-17,2014-03-17,," 0.91
"," 0.15
"," 0.18
",,," 0.14
",," 0.15
",
2014-03-18,2014-03-18,," 0.91
"," 0.15
"," 0.18
",,," 0.14
",," 0.15
",
2014-03-19,2014-03-19,," 0.91
"," 0.15
"," 0.18
",,," 0.14
",," 0.15
",
2014-03-20,2014-03-20,," 0.91
"," 0.14
"," 0.18
",,," 0.14
",," 0.15
",
2014-03-21,2014-03-21,," 0.91
"," 0.14
"," 0.18
",,," 0.14
",," 0.14
",
2014-03-22,2014-03-22,," 0.91
"," 0.14
"," 0.18
",,," 0.14
",," 0.14
",
2014-03-23,2014-03-23,," 0.91
"," 0.14
"," 0.18
",,," 0.14
",," 0.14
",
2014-03-24,2014-03-24,," 0.91
"," 0.14
"," 0.18
",,," 0.14
",," 0.14
",
2014-03-25,2014-03-25,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-03-26,2014-03-26,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-03-27,2014-03-27,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-03-28,2014-03-28,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-03-29,2014-03-29,," 0.93
"," 0.14
"," 0.18
",,," 0.15
",," 0.15
",
2014-03-30,2014-03-30,," 0.93
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-03-31,2014-03-31,," 0.93
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-04-01,2014-04-01,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-04-02,2014-04-02,," 0.91
"," 0.14
"," 0.18
",,," 0.15
",," 0.14
",
2014-04-03,2014-04-03,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.14
",
2014-04-04,2014-04-04,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.14
",
2014-04-05,2014-04-05,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-06,2014-04-06,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-07,2014-04-07,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-08,2014-04-08,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-09,2014-04-09,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-10,2014-04-10,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-11,2014-04-11,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-12,2014-04-12,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-13,2014-04-13,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-14,2014-04-14,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-15,2014-04-15,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-16,2014-04-16,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-17,2014-04-17,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-18,2014-04-18,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-19,2014-04-19,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-20,2014-04-20,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-21,2014-04-21,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-22,2014-04-22,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
2014-04-23,2014-04-23,," 0.91
"," 0.14
"," 0.19
",,," 0.15
",," 0.15
",
