index,name,code,setName
9477,Rootbound Crag,C16,Commander 2016
9478,Rugged Highlands,C16,Commander 2016
9480,Sandsteppe Citadel,C16,Commander 2016
9483,Seat of the Synod,C16,Commander 2016
9485,Shadowblood Ridge,C16,Commander 2016
9488,Sungrass Prairie,C16,Commander 2016
9489,Sunpetal Grove,C16,Commander 2016
9496,Windbrisk Heights,C16,Commander 2016
9512,Alms Collector,C17,Commander 2017
9513,"Balan, Wandering Knight",C17,Commander 2017
9514,Curse of Vitality,C17,Commander 2017
9515,Fortunate Few,C17,Commander 2017
9516,Kindred Boon,C17,Commander 2017
9517,Scalelord Reckoner,C17,Commander 2017
9518,Stalking Leonin,C17,Commander 2017
9519,Teferi's Protection,C17,Commander 2017
9520,Curse of Verbosity,C17,Commander 2017
9521,Galecaster Colossus,C17,Commander 2017
9522,Kindred Discovery,C17,Commander 2017
9523,Magus of the Mind,C17,Commander 2017
9524,Portal Mage,C17,Commander 2017
9525,Bloodline Necromancer,C17,Commander 2017
9526,Boneyard Scourge,C17,Commander 2017
9527,Curse of Disturbance,C17,Commander 2017
9528,Kheru Mind-Eater,C17,Commander 2017
9529,Kindred Dominance,C17,Commander 2017
9530,New Blood,C17,Commander 2017
9531,Patron of the Vein,C17,Commander 2017
9532,Vindictive Lich,C17,Commander 2017
9533,Bloodsworn Steward,C17,Commander 2017
9534,Crimson Honor Guard,C17,Commander 2017
9535,Curse of Opulence,C17,Commander 2017
9536,Disrupt Decorum,C17,Commander 2017
9538,Kindred Charge,C17,Commander 2017
9539,Shifting Shadow,C17,Commander 2017
9540,Territorial Hellkite,C17,Commander 2017
9541,Curse of Bounty,C17,Commander 2017
9542,Hungry Lynx,C17,Commander 2017
9543,Kindred Summons,C17,Commander 2017
9544,Qasali Slingers,C17,Commander 2017
9545,Traverse the Outlands,C17,Commander 2017
9546,"Arahbo, Roar of the World",C17,Commander 2017
9547,Edgar Markov,C17,Commander 2017
9548,Fractured Identity,C17,Commander 2017
9549,"Inalla, Archmage Ritualist",C17,Commander 2017
9550,"Kess, Dissident Mage",C17,Commander 2017
9551,"Licia, Sanguine Tribune",C17,Commander 2017
9552,"Mairsil, the Pretender",C17,Commander 2017
9553,"Mathas, Fiend Seeker",C17,Commander 2017
9554,"Mirri, Weatherlight Duelist",C17,Commander 2017
9555,"Nazahn, Revered Bladesmith",C17,Commander 2017
9556,"O-Kagachi, Vengeful Kami",C17,Commander 2017
9557,"Taigam, Ojutai Master",C17,Commander 2017
9558,"Taigam, Sidisi's Hand",C17,Commander 2017
9559,The Ur-Dragon,C17,Commander 2017
9560,"Wasitora, Nekoru Queen",C17,Commander 2017
9561,Bloodforged Battle-Axe,C17,Commander 2017
9563,Heirloom Blade,C17,Commander 2017
9564,Herald's Horn,C17,Commander 2017
9565,Mirror of the Forebears,C17,Commander 2017
9566,"Ramos, Dragon Engine",C17,Commander 2017
9567,Path of Ancestry,C17,Commander 2017
9570,Divine Reckoning,C17,Commander 2017
9575,Leonin Arbiter,C17,Commander 2017
9576,Leonin Relic-Warder,C17,Commander 2017
9577,Leonin Shikari,C17,Commander 2017
9578,Orator of Ojutai,C17,Commander 2017
9582,Rout,C17,Commander 2017
9583,Seht's Tiger,C17,Commander 2017
9584,Spirit of the Hearth,C17,Commander 2017
9585,Sunscorch Regent,C17,Commander 2017
9586,Sunspear Shikari,C17,Commander 2017
9588,Taj-Nar Swordsmith,C17,Commander 2017
9592,Archaeomancer,C17,Commander 2017
9594,Body Double,C17,Commander 2017
9595,Clone Legion,C17,Commander 2017
9596,Harbinger of the Tides,C17,Commander 2017
9599,Monastery Siege,C17,Commander 2017
9601,Polymorphist's Jest,C17,Commander 2017
9602,Reality Shift,C17,Commander 2017
9604,Serendib Sorcerer,C17,Commander 2017
9607,"Anowon, the Ruin Sage",C17,Commander 2017
9608,Apprentice Necromancer,C17,Commander 2017
9611,Blood Tribute,C17,Commander 2017
9612,Bloodhusk Ritualist,C17,Commander 2017
9613,Bloodlord of Vaasgoth,C17,Commander 2017
9615,Captivating Vampire,C17,Commander 2017
9616,Consuming Vapors,C17,Commander 2017
9618,Crux of Fate,C17,Commander 2017
9619,Damnable Pact,C17,Commander 2017
9621,Deathbringer Regent,C17,Commander 2017
9624,Falkenrath Noble,C17,Commander 2017
9625,Go for the Throat,C17,Commander 2017
9627,Malakir Bloodwitch,C17,Commander 2017
9630,Palace Siege,C17,Commander 2017
9631,Pawn of Ulamog,C17,Commander 2017
9632,Puppeteer Clique,C17,Commander 2017
9637,Skeletal Vampire,C17,Commander 2017
9645,Dragon Tempest,C17,Commander 2017
9646,Dragonlord's Servant,C17,Commander 2017
9650,Outpost Siege,C17,Commander 2017
9651,Rakish Heir,C17,Commander 2017
9653,Scourge of Valkas,C17,Commander 2017
9655,Utvara Hellkite,C17,Commander 2017
9659,Elemental Bond,C17,Commander 2017
9661,Frontier Siege,C17,Commander 2017
9664,Jedit Ojanen of Efrava,C17,Commander 2017
9666,Nissa's Pilgrimage,C17,Commander 2017
9668,Relic Crush,C17,Commander 2017
9669,Soul's Majesty,C17,Commander 2017
9670,Temur Sabertooth,C17,Commander 2017
9671,Zendikar Resurgent,C17,Commander 2017
9672,"Atarka, World Render",C17,Commander 2017
9674,Bladewing the Risen,C17,Commander 2017
9675,Blood Baron of Vizkopa,C17,Commander 2017
9677,Cauldron Dance,C17,Commander 2017
9679,"Crosis, the Purger",C17,Commander 2017
9681,"Dromoka, the Eternal",C17,Commander 2017
9683,Fleecemane Lion,C17,Commander 2017
9684,Havengul Lich,C17,Commander 2017
9685,"Intet, the Dreamer",C17,Commander 2017
9686,Izzet Chronarch,C17,Commander 2017
9687,"Kolaghan, the Storm's Fury",C17,Commander 2017
9688,"Marchesa, the Black Rose",C17,Commander 2017
9689,Memory Plunder,C17,Commander 2017
9691,Mercurial Chemister,C17,Commander 2017
9692,Mirari's Wake,C17,Commander 2017
9694,"Nin, the Pain Artist",C17,Commander 2017
9695,"Niv-Mizzet, Dracogenius",C17,Commander 2017
9698,"Ojutai, Soul of Winter",C17,Commander 2017
9699,Phantom Nishoba,C17,Commander 2017
9703,Scion of the Ur-Dragon,C17,Commander 2017
9705,"Silumgar, the Drifting Death",C17,Commander 2017
9706,Silumgar's Command,C17,Commander 2017
9708,Stromkirk Captain,C17,Commander 2017
9709,"Teneb, the Harvester",C17,Commander 2017
9711,Tithe Drinker,C17,Commander 2017
9712,Vela the Night-Clad,C17,Commander 2017
9715,Blade of the Bloodchief,C17,Commander 2017
9719,Door of Destinies,C17,Commander 2017
9723,Grappling Hook,C17,Commander 2017
9725,Hero's Blade,C17,Commander 2017
9738,Sword of the Animist,C17,Commander 2017
9747,Bloodfell Caves,C17,Commander 2017
9748,Blossoming Sands,C17,Commander 2017
9754,Crucible of the Spirit Dragon,C17,Commander 2017
9763,Grasslands,C17,Commander 2017
9766,Haven of the Spirit Dragon,C17,Commander 2017
9770,Kabira Crossroads,C17,Commander 2017
9775,Mystifying Maze,C17,Commander 2017
9792,Stirring Wildwood,C17,Commander 2017
9821,Boreas Charger,C18,Commander 2018
9822,Empyrial Storm,C18,Commander 2018
9823,Heavenly Blademaster,C18,Commander 2018
9824,Loyal Unicorn,C18,Commander 2018
9825,Magus of the Balance,C18,Commander 2018
9826,Aminatou's Augury,C18,Commander 2018
9827,Echo Storm,C18,Commander 2018
9828,Estrid's Invocation,C18,Commander 2018
9829,Ever-Watching Threshold,C18,Commander 2018
9830,Loyal Drake,C18,Commander 2018
9831,Octopus Umbra,C18,Commander 2018
9832,Primordial Mist,C18,Commander 2018
9833,Vedalken Humiliator,C18,Commander 2018
9834,Bloodtracker,C18,Commander 2018
9835,Entreat the Dead,C18,Commander 2018
9836,Loyal Subordinate,C18,Commander 2018
9837,Night Incarnate,C18,Commander 2018
9838,Skull Storm,C18,Commander 2018
9839,Sower of Discord,C18,Commander 2018
9840,Emissary of Grudges,C18,Commander 2018
9841,Enchanter's Bane,C18,Commander 2018
9842,Fury Storm,C18,Commander 2018
9843,Loyal Apprentice,C18,Commander 2018
9844,Nesting Dragon,C18,Commander 2018
9845,Reality Scramble,C18,Commander 2018
9846,Saheeli's Directive,C18,Commander 2018
9847,Treasure Nabber,C18,Commander 2018
9848,"Varchild, Betrayer of Kjeldor",C18,Commander 2018
9849,Crash of Rhino Beetles,C18,Commander 2018
9850,Genesis Storm,C18,Commander 2018
9851,Loyal Guardian,C18,Commander 2018
9852,Myth Unbound,C18,Commander 2018
9853,Nylea's Colossus,C18,Commander 2018
9854,Ravenous Slime,C18,Commander 2018
9855,Turntimber Sower,C18,Commander 2018
9856,Whiptongue Hydra,C18,Commander 2018
9857,"Aminatou, the Fateshifter",C18,Commander 2018
9860,"Estrid, the Masked",C18,Commander 2018
9861,"Gyrus, Waker of Corpses",C18,Commander 2018
9862,"Kestia, the Cultivator",C18,Commander 2018
9863,Lord Windgrace,C18,Commander 2018
9864,"Saheeli, the Gifted",C18,Commander 2018
9865,"Tawnos, Urza's Apprentice",C18,Commander 2018
9866,"Thantis, the Warweaver",C18,Commander 2018
9867,Tuvasa the Sunlit,C18,Commander 2018
9868,"Varina, Lich Queen",C18,Commander 2018
9869,Windgrace's Judgment,C18,Commander 2018
9870,"Xantcha, Sleeper Agent",C18,Commander 2018
9871,"Yennett, Cryptic Sovereign",C18,Commander 2018
9872,"Yuriko, the Tiger's Shadow",C18,Commander 2018
9873,Ancient Stone Idol,C18,Commander 2018
9874,Coveted Jewel,C18,Commander 2018
9876,Geode Golem,C18,Commander 2018
9877,Retrofitter Foundry,C18,Commander 2018
9878,Forge of Heroes,C18,Commander 2018
9879,Isolated Watchtower,C18,Commander 2018
9886,Dismantling Blow,C18,Commander 2018
9888,Lightform,C18,Commander 2018
9892,Sage's Reverie,C18,Commander 2018
9896,Soul Snare,C18,Commander 2018
9898,Unquestioned Authority,C18,Commander 2018
9899,Winds of Rath,C18,Commander 2018
9903,Cloudform,C18,Commander 2018
9904,Conundrum Sphinx,C18,Commander 2018
9906,Dictate of Kruphix,C18,Commander 2018
9907,Djinn of Wishes,C18,Commander 2018
9909,Eel Umbra,C18,Commander 2018
9913,Jeskai Infiltrator,C18,Commander 2018
9916,Ponder,C18,Commander 2018
9918,Predict,C18,Commander 2018
9920,Saheeli's Artistry,C18,Commander 2018
9922,Sigiled Starfish,C18,Commander 2018
9927,Thopter Spy Network,C18,Commander 2018
9929,Treasure Hunt,C18,Commander 2018
9930,Vow of Flight,C18,Commander 2018
9931,Whirler Rogue,C18,Commander 2018
9932,Whitewater Naiads,C18,Commander 2018
9934,Moonlight Bargain,C18,Commander 2018
9938,Soul of Innistrad,C18,Commander 2018
9939,Stitch Together,C18,Commander 2018
9948,Aura Gnarlid,C18,Commander 2018
9951,Bear Umbra,C18,Commander 2018
9952,Boon Satyr,C18,Commander 2018
9953,Borderland Explorer,C18,Commander 2018
9954,"Budoka Gardener // Dokai, Weaver of Life",C18,Commander 2018
9957,Consign to Dust,C18,Commander 2018
9958,Creeping Renaissance,C18,Commander 2018
9961,Eidolon of Blossoms,C18,Commander 2018
9962,Enchantress's Presence,C18,Commander 2018
9964,Explore,C18,Commander 2018
9965,Explosive Vegetation,C18,Commander 2018
9969,Grapple with the Past,C18,Commander 2018
9970,Ground Seal,C18,Commander 2018
9972,Herald of the Pantheon,C18,Commander 2018
9973,Hunting Wilds,C18,Commander 2018
9974,Hydra Omnivore,C18,Commander 2018
9975,Khalni Heart Expedition,C18,Commander 2018
9976,Kruphix's Insight,C18,Commander 2018
9977,Moldgraf Monstrosity,C18,Commander 2018
9982,Scute Mob,C18,Commander 2018
9983,Snake Umbra,C18,Commander 2018
9985,Vow of Wildness,C18,Commander 2018
9987,Yavimaya Elder,C18,Commander 2018
9994,Daxos of Meletis,C18,Commander 2018
9997,Duskmantle Seer,C18,Commander 2018
9998,Elderwood Scion,C18,Commander 2018
10002,Gaze of Granite,C18,Commander 2018
10004,High Priest of Penance,C18,Commander 2018
10009,Righteous Authority,C18,Commander 2018
10012,Silent-Blade Oni,C18,Commander 2018
10016,Zendikar Incarnate,C18,Commander 2018
10022,Crystal Ball,C18,Commander 2018
10023,Darksteel Juggernaut,C18,Commander 2018
10030,Mimic Vat,C18,Commander 2018
10032,Mirrorworks,C18,Commander 2018
10036,Prismatic Lens,C18,Commander 2018
10037,Prototype Portal,C18,Commander 2018
10039,Scrabbling Claws,C18,Commander 2018
10040,Scuttling Doom Engine,C18,Commander 2018
10047,Thopter Assembly,C18,Commander 2018
10049,Unwinding Clock,C18,Commander 2018
10069,Foundry of the Consuls,C18,Commander 2018
10074,Halimar Depths,C18,Commander 2018
10089,Mountain Valley,C18,Commander 2018
10095,Rocky Tar Pit,C18,Commander 2018
10109,Tranquil Cove,C18,Commander 2018
10112,Warped Landscape,C18,Commander 2018
10129,Cliffside Rescuer,C19,Commander 2019
10130,Commander's Insignia,C19,Commander 2019
10131,Doomed Artisan,C19,Commander 2019
10132,Mandate of Peace,C19,Commander 2019
10133,Sevinne's Reclamation,C19,Commander 2019
10134,Song of the Worldsoul,C19,Commander 2019
10135,Thalia's Geistcaller,C19,Commander 2019
10136,Kadena's Silencer,C19,Commander 2019
10137,Leadership Vacuum,C19,Commander 2019
10138,Mass Diminish,C19,Commander 2019
10139,Sudden Substitution,C19,Commander 2019
10140,Thought Sponge,C19,Commander 2019
10141,Wall of Stolen Identity,C19,Commander 2019
10142,Archfiend of Spite,C19,Commander 2019
10143,Bone Miser,C19,Commander 2019
10144,Curse of Fool's Wisdom,C19,Commander 2019
10145,Gift of Doom,C19,Commander 2019
10146,"K'rrik, Son of Yawgmoth",C19,Commander 2019
10147,Mire in Misery,C19,Commander 2019
10148,Nightmare Unmaking,C19,Commander 2019
10149,Thieving Amalgam,C19,Commander 2019
10150,Anje's Ravager,C19,Commander 2019
10151,Backdraft Hellkite,C19,Commander 2019
10152,Dockside Extortionist,C19,Commander 2019
10153,Ghired's Belligerence,C19,Commander 2019
10154,Hate Mirage,C19,Commander 2019
10155,Ignite the Future,C19,Commander 2019
10156,Skyfire Phoenix,C19,Commander 2019
10157,Tectonic Hellion,C19,Commander 2019
10158,Wildfire Devils,C19,Commander 2019
10159,Apex Altisaur,C19,Commander 2019
10160,Full Flowering,C19,Commander 2019
10161,Ohran Frostfang,C19,Commander 2019
10162,Road of Return,C19,Commander 2019
10163,Selesnya Eulogist,C19,Commander 2019
10164,Voice of Many,C19,Commander 2019
10165,Anje Falkenrath,C19,Commander 2019
10166,"Atla Palani, Nest Tender",C19,Commander 2019
10167,"Chainer, Nightmare Adept",C19,Commander 2019
10168,Elsha of the Infinite,C19,Commander 2019
10169,"Gerrard, Weatherlight Hero",C19,Commander 2019
10170,"Ghired, Conclave Exile",C19,Commander 2019
10171,"Greven, Predator Captain",C19,Commander 2019
10172,"Grismold, the Dreadsower",C19,Commander 2019
10173,"Kadena, Slinking Sorcerer",C19,Commander 2019
10174,"Marisi, Breaker of the Coil",C19,Commander 2019
10175,"Pramikon, Sky Rampart",C19,Commander 2019
10176,"Rayami, First of the Fallen",C19,Commander 2019
10177,"Sevinne, the Chronoclasm",C19,Commander 2019
10178,"Tahngarth, First Mate",C19,Commander 2019
10179,"Volrath, the Shapestealer",C19,Commander 2019
10180,Aeon Engine,C19,Commander 2019
10181,Bloodthirsty Blade,C19,Commander 2019
10182,Empowered Autogenerator,C19,Commander 2019
10183,Idol of Oblivion,C19,Commander 2019
10184,Pendant of Prosperity,C19,Commander 2019
10185,Scaretiller,C19,Commander 2019
10186,Scroll of Fate,C19,Commander 2019
10187,Sanctum of Eternity,C19,Commander 2019
10194,Hour of Reckoning,C19,Commander 2019
10195,Increasing Devotion,C19,Commander 2019
10196,Intangible Virtue,C19,Commander 2019
10198,Prismatic Strands,C19,Commander 2019
10199,Pristine Angel,C19,Commander 2019
10200,Purify the Grave,C19,Commander 2019
10201,Ray of Distortion,C19,Commander 2019
10202,Roc Egg,C19,Commander 2019
10203,Rootborn Defenses,C19,Commander 2019
10204,Storm Herd,C19,Commander 2019
10206,Trostani's Judgment,C19,Commander 2019
10207,Wingmate Roc,C19,Commander 2019
10208,"Zetalpa, Primal Dawn",C19,Commander 2019
10209,Chemister's Insight,C19,Commander 2019
10210,Chromeshell Crab,C19,Commander 2019
10211,Clever Impersonator,C19,Commander 2019
10215,Fervent Denial,C19,Commander 2019
10217,Jace's Sanctum,C19,Commander 2019
10218,Kheru Spellsnatcher,C19,Commander 2019
10220,Oona's Grace,C19,Commander 2019
10222,River Kelpie,C19,Commander 2019
10223,Runic Repetition,C19,Commander 2019
10224,Secrets of the Dead,C19,Commander 2019
10225,Stratus Dancer,C19,Commander 2019
10228,Think Twice,C19,Commander 2019
10229,Thousand Winds,C19,Commander 2019
10232,Asylum Visitor,C19,Commander 2019
10235,Big Game Hunter,C19,Commander 2019
10236,Boneyard Parley,C19,Commander 2019
10237,Call to the Netherworld,C19,Commander 2019
10239,Dark Withering,C19,Commander 2019
10242,From Under the Floorboards,C19,Commander 2019
10245,Gorgon Recluse,C19,Commander 2019
10246,Grave Scrabbler,C19,Commander 2019
10247,Grim Haruspex,C19,Commander 2019
10248,Hedonist's Trove,C19,Commander 2019
10249,Hex,C19,Commander 2019
10251,Murderous Compulsion,C19,Commander 2019
10252,Nightshade Assassin,C19,Commander 2019
10255,Plaguecrafter,C19,Commander 2019
10257,Silumgar Assassin,C19,Commander 2019
10258,Skinthinner,C19,Commander 2019
10260,The Eldest Reborn,C19,Commander 2019
10262,Alchemist's Greeting,C19,Commander 2019
10263,Avacyn's Judgment,C19,Commander 2019
10264,Burning Vengeance,C19,Commander 2019
10267,Devil's Play,C19,Commander 2019
10271,Fiery Temper,C19,Commander 2019
10272,Flamerush Rider,C19,Commander 2019
10273,Flayer of the Hatebound,C19,Commander 2019
10276,Increasing Vengeance,C19,Commander 2019
10279,Malevolent Whispers,C19,Commander 2019
10280,Rolling Temblor,C19,Commander 2019
10282,Stromkirk Occultist,C19,Commander 2019
10283,Violent Eruption,C19,Commander 2019
10289,Deathmist Raptor,C19,Commander 2019
10291,Druid's Deliverance,C19,Commander 2019
10296,"Garruk, Primal Hunter",C19,Commander 2019
10297,Garruk's Packleader,C19,Commander 2019
10298,Giant Adephage,C19,Commander 2019
10301,Hooded Hydra,C19,Commander 2019
10302,Momentous Fall,C19,Commander 2019
10303,Nantuko Vigilante,C19,Commander 2019
10307,Second Harvest,C19,Commander 2019
10311,Soul of Zendikar,C19,Commander 2019
10315,Trail of Mystery,C19,Commander 2019
10316,Biomass Mutation,C19,Commander 2019
10317,Bloodhall Priest,C19,Commander 2019
10319,Crackling Drake,C19,Commander 2019
10320,Emmara Tandris,C19,Commander 2019
10323,Growing Ranks,C19,Commander 2019
10324,Icefeather Aven,C19,Commander 2019
10326,Pristine Skywise,C19,Commander 2019
10328,Ral Zarek,C19,Commander 2019
10331,Sagu Mauler,C19,Commander 2019
10332,Secret Plans,C19,Commander 2019
10333,Sultai Charm,C19,Commander 2019
10334,Sundering Growth,C19,Commander 2019
10335,"Trostani, Selesnya's Voice",C19,Commander 2019
10336,Urban Evolution,C19,Commander 2019
10337,Vitu-Ghazi Guildmage,C19,Commander 2019
10338,Vraska the Unseen,C19,Commander 2019
10339,Wayfaring Temple,C19,Commander 2019
10341,Azorius Locket,C19,Commander 2019
10344,Grimoire of the Dead,C19,Commander 2019
10346,Izzet Locket,C19,Commander 2019
10347,Key to the City,C19,Commander 2019
10349,Meteor Golem,C19,Commander 2019
10351,Rakdos Locket,C19,Commander 2019
10354,Soul Foundry,C19,Commander 2019
10371,Drownyard Temple,C19,Commander 2019
10377,Geier Reach Sanitarium,C19,Commander 2019
10390,Memorial to Folly,C19,Commander 2019
10400,"Rix Maadi, Dungeon Palace",C19,Commander 2019
10434,"Trynn, Champion of Freedom",C20,Commander 2020
10435,"Haldan, Avid Arcanist",C20,Commander 2020
10436,"Nikara, Lair Scavenger",C20,Commander 2020
10437,"Brallin, Skyshark Rider",C20,Commander 2020
10438,"Cazur, Ruthless Stalker",C20,Commander 2020
10439,"Akim, the Soaring Wind",C20,Commander 2020
10440,"Gavi, Nest Warden",C20,Commander 2020
10441,Jirina Kudro,C20,Commander 2020
10442,"Kalamax, the Stormsire",C20,Commander 2020
10443,"Kathril, Aspect Warper",C20,Commander 2020
10444,"Kelsien, the Plague",C20,Commander 2020
10445,"Otrimi, the Ever-Playful",C20,Commander 2020
10446,"Pako, Arcane Retriever",C20,Commander 2020
10447,"Shabraz, the Skyshark",C20,Commander 2020
10448,"Silvar, Devourer of the Free",C20,Commander 2020
10449,"Tayam, Luminous Enigma",C20,Commander 2020
10450,"Ukkima, Stalking Shadow",C20,Commander 2020
10451,"Xyris, the Writhing Storm",C20,Commander 2020
10452,"Yannik, Scavenging Sentinel",C20,Commander 2020
10453,"Zaxara, the Exemplary",C20,Commander 2020
10454,Cryptic Trilobite,C20,Commander 2020
10455,Avenging Huntbonder,C20,Commander 2020
10456,Call the Coppercoats,C20,Commander 2020
10457,Cartographer's Hawk,C20,Commander 2020
10458,Dismantling Wave,C20,Commander 2020
10459,Flawless Maneuver,C20,Commander 2020
10460,Herald of the Forgotten,C20,Commander 2020
10461,Martial Impetus,C20,Commander 2020
10462,Verge Rangers,C20,Commander 2020
10463,Vitality Hunter,C20,Commander 2020
10464,Crystalline Resonance,C20,Commander 2020
10465,Decoy Gambit,C20,Commander 2020
10466,Eon Frolicker,C20,Commander 2020
10467,Ethereal Forager,C20,Commander 2020
10468,Fierce Guardianship,C20,Commander 2020
10469,Nascent Metamorph,C20,Commander 2020
10470,Psychic Impetus,C20,Commander 2020
10471,Souvenir Snatcher,C20,Commander 2020
10472,Tidal Barracuda,C20,Commander 2020
10473,Boneyard Mycodrax,C20,Commander 2020
10474,Daring Fiendbonder,C20,Commander 2020
10475,Deadly Rollick,C20,Commander 2020
10476,Dredge the Mire,C20,Commander 2020
10477,Mindleecher,C20,Commander 2020
10478,Netherborn Altar,C20,Commander 2020
10479,Parasitic Impetus,C20,Commander 2020
10480,Species Specialist,C20,Commander 2020
10481,Titan Hunter,C20,Commander 2020
10482,Agitator Ant,C20,Commander 2020
10483,Deflecting Swat,C20,Commander 2020
10484,Fireflux Squad,C20,Commander 2020
10485,Frontier Warmonger,C20,Commander 2020
10486,Lavabrink Floodgates,C20,Commander 2020
10487,Molten Echoes,C20,Commander 2020
10488,Shiny Impetus,C20,Commander 2020
10489,Spellpyre Phoenix,C20,Commander 2020
10490,Surly Badgersaur,C20,Commander 2020
10491,Capricopian,C20,Commander 2020
10492,Curious Herd,C20,Commander 2020
10493,Glademuse,C20,Commander 2020
10494,Obscuring Haze,C20,Commander 2020
10495,Predatory Impetus,C20,Commander 2020
10496,Ravenous Gigantotherium,C20,Commander 2020
10497,Sawtusk Demolisher,C20,Commander 2020
10498,Selective Adaptation,C20,Commander 2020
10499,Slippery Bogbonder,C20,Commander 2020
10500,Bonder's Ornament,C20,Commander 2020
10501,Manascape Refractor,C20,Commander 2020
10502,Sanctuary Blade,C20,Commander 2020
10503,Twinning Staff,C20,Commander 2020
10504,Nesting Grounds,C20,Commander 2020
10505,Aerial Responder,C20,Commander 2020
10509,Astral Drift,C20,Commander 2020
10510,Banisher Priest,C20,Commander 2020
10511,Bounty Agent,C20,Commander 2020
10513,Cataclysmic Gearhulk,C20,Commander 2020
10514,Cavalry Pegasus,C20,Commander 2020
10515,Citywide Bust,C20,Commander 2020
10516,Cleansing Nova,C20,Commander 2020
10517,Dearly Departed,C20,Commander 2020
10519,Descend upon the Sinful,C20,Commander 2020
10522,Frontline Medic,C20,Commander 2020
10527,Magus of the Disk,C20,Commander 2020
10528,"Odric, Lunarch Marshal",C20,Commander 2020
10529,"Odric, Master Tactician",C20,Commander 2020
10533,Spirit Cairn,C20,Commander 2020
10536,Thalia's Lieutenant,C20,Commander 2020
10537,Thraben Doomsayer,C20,Commander 2020
10544,Frantic Search,C20,Commander 2020
10547,"Jace, Architect of Thought",C20,Commander 2020
10549,Mind Spring,C20,Commander 2020
10551,Murmuring Mystic,C20,Commander 2020
10553,Niblis of Frost,C20,Commander 2020
10557,Swarm Intelligence,C20,Commander 2020
10560,Whiplash Trap,C20,Commander 2020
10563,Cairn Wanderer,C20,Commander 2020
10566,Ever After,C20,Commander 2020
10571,Soulflayer,C20,Commander 2020
10572,Unburial Rites,C20,Commander 2020
10574,Xathrid Necromancer,C20,Commander 2020
10577,Captivating Crew,C20,Commander 2020
10578,"Chandra, Flamecaller",C20,Commander 2020
10582,Commune with Lava,C20,Commander 2020
10584,"Etali, Primal Storm",C20,Commander 2020
10586,Goblin Dark-Dwellers,C20,Commander 2020
10588,Lightning Rift,C20,Commander 2020
10591,Shared Animosity,C20,Commander 2020
10594,Surreal Memoir,C20,Commander 2020
10595,Tectonic Reformation,C20,Commander 2020
10596,Titan of Eternal Fire,C20,Commander 2020
10599,Animist's Awakening,C20,Commander 2020
10600,Beast Whisperer,C20,Commander 2020
10604,Evolution Charm,C20,Commander 2020
10605,Genesis Hydra,C20,Commander 2020
10608,Heroes' Bane,C20,Commander 2020
10610,Hungering Hydra,C20,Commander 2020
10611,Hunter's Insight,C20,Commander 2020
10612,Hunting Pack,C20,Commander 2020
10618,Predator Ooze,C20,Commander 2020
10624,Splinterfright,C20,Commander 2020
10625,Strength of the Tajuru,C20,Commander 2020
10627,Vastwood Hydra,C20,Commander 2020
10628,Vorapede,C20,Commander 2020
10629,Wilderness Reclamation,C20,Commander 2020
10631,Abzan Ascendancy,C20,Commander 2020
10633,"Adriana, Captain of the Guard",C20,Commander 2020
10640,Deadbridge Chant,C20,Commander 2020
10641,Deathsprout,C20,Commander 2020
10642,Despark,C20,Commander 2020
10643,Djinn Illuminatus,C20,Commander 2020
10645,Find // Finality,C20,Commander 2020
10647,"Garna, the Bloodflame",C20,Commander 2020
10650,Growth Spiral,C20,Commander 2020
10651,"Isperia, Supreme Judge",C20,Commander 2020
10657,"Nahiri, the Harbinger",C20,Commander 2020
10660,Nyx Weaver,C20,Commander 2020
10663,"Rashmi, Eternities Crafter",C20,Commander 2020
10664,Temur Charm,C20,Commander 2020
10667,Villainous Wealth,C20,Commander 2020
10668,"Wort, the Raidmother",C20,Commander 2020
10669,"Wydwen, the Biting Gale",C20,Commander 2020
10671,Arcane Signet,C20,Commander 2020
10675,Fluctuator,C20,Commander 2020
10706,Endless Sands,C20,Commander 2020
10710,Gavony Township,C20,Commander 2020
10715,Hostile Desert,C20,Commander 2020
10718,Kessig Wolf Run,C20,Commander 2020
10724,Mossfire Valley,C20,Commander 2020
10746,Skycloud Expanse,C20,Commander 2020
10749,Soaring Seacliff,C20,Commander 2020
10754,Unclaimed Territory,C20,Commander 2020
10758,"Omnath, Locus of Mana",CC1,Commander Collection: Green
11369,Blessed Breath,CHK,Champions of Kamigawa
11370,Bushi Tenderfoot // Kenzo the Hardhearted,CHK,Champions of Kamigawa
11373,Call to Glory,CHK,Champions of Kamigawa
11374,Candles' Glow,CHK,Champions of Kamigawa
11375,Cleanfall,CHK,Champions of Kamigawa
11376,Devoted Retainer,CHK,Champions of Kamigawa
11377,Eight-and-a-Half-Tails,CHK,Champions of Kamigawa
11378,Ethereal Haze,CHK,Champions of Kamigawa
11380,Harsh Deceiver,CHK,Champions of Kamigawa
11381,"Hikari, Twilight Guardian",CHK,Champions of Kamigawa
11382,Hold the Line,CHK,Champions of Kamigawa
11383,Honden of Cleansing Fire,CHK,Champions of Kamigawa
11384,Horizon Seed,CHK,Champions of Kamigawa
11385,Hundred-Talon Kami,CHK,Champions of Kamigawa
11386,Indomitable Will,CHK,Champions of Kamigawa
11387,Innocence Kami,CHK,Champions of Kamigawa
11388,"Isamaru, Hound of Konda",CHK,Champions of Kamigawa
